"Model Identifier","Model Name"
"Watch7,5","Apple Watch Ultra 2"
"Watch7,8","Apple Watch Series 10 (GPS, 42mm)"
"Watch7,9","Apple Watch Series 10 (GPS, 46mm)"
"Xserve1,1","Xserve (Late 2006)"
"Xserve2,1","Xserve (Early 2008)"
"Xserve3,1","Xserve (Early 2009)"
"afw1,50","AirTag"
"chg1,1","MagSafe Charger (1m) OR MagSafe Charger (2m)"
"iAccy1,1","Lightning Digital AV Adapter"
"iAccy1,2","Lightning to VGA Adapter"
"iBridge1,1","T1"
"iBridge2,1","T2 (iMacPro1,1)"
"iBridge2,10","T2 (MacBookPro15,4)"
"iBridge2,11","T2 (Unknown)"
"iBridge2,12","T2 (MacBookAir8,2)"
"iBridge2,13","T2 (Unknown)"
"iBridge2,14","T2 (MacBookPro16,1)"
"iBridge2,15","T2 (MacBookAir9,1)"
"iBridge2,16","T2 (MacBookPro16,2)"
"iBridge2,19","T2 (iMac20,1)"
"iBridge2,20","T2 (iMac20,2)"
"iBridge2,21","T2 (MacBookPro16,3)"
"iBridge2,22","T2 (MacBookPro16,4)"
"iBridge2,3","T2 (MacBookPro15,1)"
"iBridge2,4","T2 (MacBookPro15,2)"
"iBridge2,5","T2 (Macmini8,1)"
